new_invoice_id,invoice_number,finplex_customer_id,customer_name,amount_due,currency,due_date,predicted_risk_label,subject,body,tone,recommended_action,risk_reason_summary,human_review_notes,generation_method,raw_llm_output,llm_error,ready_for_human_review,passed_forbidden_checks,passed_required_checks,forbidden_hit_count,forbidden_hits,review_status,approved_to_send
new_inv_00001,NEW-00001,cust_0688-XNJRO,Customer 0688-XNJRO,50.0,USD,2014-03-02,high,Follow-up on Outstanding Invoice NEW-00001,"Dear Customer 0688-XNJRO,

This is a follow-up on your outstanding invoice NEW-00001, dated 2014-01-01, with an amount due of USD 50.00. The due date for this invoice was 2014-03-02.

If you have any questions or concerns regarding this invoice, please do not hesitate to reply to this email. We are here to assist you.

Thank you for your prompt attention to this matter.

Best regards,
[Your Name]

**Draft for Human Review**",Polite and Professional,Ask the customer to confirm payment timing and whether there are issues.,Customer has a history of late payments and a low on-time payment rate.,Please review the customer's payment history and adjust the tone and content as needed before sending the final email.,groq_llm,"{
  ""subject"": ""Follow-up on Outstanding Invoice NEW-00001"",
  ""body"": ""Dear Customer 0688-XNJRO,\n\nThis is a follow-up on your outstanding invoice NEW-00001, dated 2014-01-01, with an amount due of USD 50.00. The due date for this invoice was 2014-03-02.\n\nIf you have any questions or concerns regarding this invoice, please do not hesitate to reply to this email. We are here to assist you.\n\nThank you for your prompt attention to this matter.\n\nBest regards,\n[Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Ask the customer to confirm payment timing and whether there are issues."",
  ""risk_reason_summary"": ""Customer has a history of late payments and a low on-time payment rate."",
  ""human_review_notes"": ""Please review the customer's payment history and adjust the tone and content as needed before sending the final email.""
}",,True,True,True,0,[],pending_human_review,False
new_inv_00002,NEW-00002,cust_8690-EEBEO,Customer 8690-EEBEO,72.74,USD,2014-02-01,high,Follow-up on Outstanding Invoice NEW-00002,"Dear Customer 8690-EEBEO,

We are writing to follow up on your outstanding invoice NEW-00002, which is currently due on 2014-02-01. The total amount due is USD 72.74. If you have any questions or concerns regarding this invoice, please do not hesitate to reply to this email.

Thank you for your prompt attention to this matter.

Best regards,
[Your Name]

**Draft for Human Review**",Polite and Professional,Ask the customer to confirm payment timing and whether there are issues.,Previous late payments and low on-time payment rate.,Please review and modify as necessary before sending to the customer.,groq_llm,"{
  ""subject"": ""Follow-up on Outstanding Invoice NEW-00002"",
  ""body"": ""Dear Customer 8690-EEBEO,\n\nWe are writing to follow up on your outstanding invoice NEW-00002, which is currently due on 2014-02-01. The total amount due is USD 72.74. If you have any questions or concerns regarding this invoice, please do not hesitate to reply to this email.\n\nThank you for your prompt attention to this matter.\n\nBest regards,\n[Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Ask the customer to confirm payment timing and whether there are issues."",
  ""risk_reason_summary"": ""Previous late payments and low on-time payment rate."",
  ""human_review_notes"": ""Please review and modify as necessary before sending to the customer.""
}",,True,True,True,0,[],pending_human_review,False
new_inv_00003,NEW-00003,cust_8102-ABPKQ,Customer 8102-ABPKQ,55.65,USD,2014-02-02,high,Follow-up on Outstanding Invoice NEW-00003,"Dear Customer 8102-ABPKQ,

We are writing to follow up on your outstanding invoice NEW-00003, which is due on 2014-02-02. The total amount due is USD 55.65. We understand that unforeseen circumstances may have caused delays in payment. If there are any questions or issues regarding this invoice, please do not hesitate to reply to this email. We are here to assist you.

Best regards,
[Your Name]

**Draft for Human Review**",Polite and Professional,Ask the customer to confirm payment timing and whether there are issues.,Previous late payments and low on-time payment rate.,Please review the tone and content to ensure it aligns with your company's communication standards. Verify the due date and amount due before sending the email.,groq_llm,"```json
{
  ""subject"": ""Follow-up on Outstanding Invoice NEW-00003"",
  ""body"": ""Dear Customer 8102-ABPKQ,\n\nWe are writing to follow up on your outstanding invoice NEW-00003, which is due on 2014-02-02. The total amount due is USD 55.65. We understand that unforeseen circumstances may have caused delays in payment. If there are any questions or issues regarding this invoice, please do not hesitate to reply to this email. We are here to assist you.\n\nBest regards,\n[Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Ask the customer to confirm payment timing and whether there are issues."",
  ""risk_reason_summary"": ""Previous late payments and low on-time payment rate."",
  ""human_review_notes"": ""Please review the tone and content to ensure it aligns with your company's communication standards. Verify the due date and amount due before sending the email.""
}
```",,True,True,True,0,[],pending_human_review,False
new_inv_00004,NEW-00004,cust_6708-DPYTF,Customer 6708-DPYTF,62.9,USD,2014-02-18,medium,Payment Follow-up for Invoice NEW-00004,"Dear Customer 6708-DPYTF,

We hope this message finds you well. We are writing to follow up on your outstanding balance for invoice NEW-00004, which is currently due on 2014-02-18. The amount due is USD 62.90. If you have any questions or concerns regarding this invoice, please do not hesitate to reply to this message.

Thank you for your prompt attention to this matter.

Best regards,
[Your Name]

**Draft for Human Review**",Polite and Professional,Send the follow-up message after human review and approval.,"Customer has a history of late payments, but no specific reason for this particular invoice has been identified.",Please review the customer's payment history and adjust the message accordingly if necessary.,groq_llm,"{
  ""subject"": ""Payment Follow-up for Invoice NEW-00004"",
  ""body"": ""Dear Customer 6708-DPYTF,\n\nWe hope this message finds you well. We are writing to follow up on your outstanding balance for invoice NEW-00004, which is currently due on 2014-02-18. The amount due is USD 62.90. If you have any questions or concerns regarding this invoice, please do not hesitate to reply to this message.\n\nThank you for your prompt attention to this matter.\n\nBest regards,\n[Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Send the follow-up message after human review and approval."",
  ""risk_reason_summary"": ""Customer has a history of late payments, but no specific reason for this particular invoice has been identified."",
  ""human_review_notes"": ""Please review the customer's payment history and adjust the message accordingly if necessary.""
}",,True,True,True,0,[],pending_human_review,False
new_inv_00005,NEW-00005,cust_4460-ZXNDN,Customer 4460-ZXNDN,77.88,USD,2014-02-19,high,Follow-up on Outstanding Invoice NEW-00005,"Dear Customer 4460-ZXNDN,

We are writing to follow up on your outstanding invoice NEW-00005, which is due on 2014-02-19. The total amount due is USD 77.88. If you have any questions or concerns regarding this invoice, please do not hesitate to contact us.

Thank you for your prompt attention to this matter.

Best regards,
[Your Name]

**Draft for Human Review**",Polite and Professional,Ask the customer to confirm payment timing and whether there are issues.,Previous late payments and low on-time payment rate.,Please review the tone and content for accuracy and adjust as necessary before sending to the customer.,groq_llm,"{
  ""subject"": ""Follow-up on Outstanding Invoice NEW-00005"",
  ""body"": ""Dear Customer 4460-ZXNDN,\n\nWe are writing to follow up on your outstanding invoice NEW-00005, which is due on 2014-02-19. The total amount due is USD 77.88. If you have any questions or concerns regarding this invoice, please do not hesitate to contact us.\n\nThank you for your prompt attention to this matter.\n\nBest regards,\n[Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Ask the customer to confirm payment timing and whether there are issues."",
  ""risk_reason_summary"": ""Previous late payments and low on-time payment rate."",
  ""human_review_notes"": ""Please review the tone and content for accuracy and adjust as necessary before sending to the customer.""
}",,True,True,True,0,[],pending_human_review,False
new_inv_00006,NEW-00006,cust_9883-SDWFS,Customer 9883-SDWFS,50.0,USD,2014-03-07,high,Follow-up on Outstanding Invoice NEW-00006,"Dear Customer 9883-SDWFS,

This is a friendly follow-up regarding your outstanding invoice NEW-00006, dated 2014-01-06, with an amount due of USD 50.00. The due date for this invoice was 2014-03-07.

If you have any questions or concerns regarding this invoice, please do not hesitate to reply to this email. We are here to help and want to ensure that everything is settled to your satisfaction.

Thank you for your prompt attention to this matter.

Best regards, [Your Name]

**Draft for Human Review**",Polite and Professional,Ask the customer to confirm payment timing and whether there are issues.,Customer has a history of late payments and a low on-time payment rate.,Please review the customer's payment history and adjust the tone and content as needed before sending the final email.,groq_llm,"```json
{
  ""subject"": ""Follow-up on Outstanding Invoice NEW-00006"",
  ""body"": ""Dear Customer 9883-SDWFS,\n\nThis is a friendly follow-up regarding your outstanding invoice NEW-00006, dated 2014-01-06, with an amount due of USD 50.00. The due date for this invoice was 2014-03-07.\n\nIf you have any questions or concerns regarding this invoice, please do not hesitate to reply to this email. We are here to help and want to ensure that everything is settled to your satisfaction.\n\nThank you for your prompt attention to this matter.\n\nBest regards, [Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Ask the customer to confirm payment timing and whether there are issues."",
  ""risk_reason_summary"": ""Customer has a history of late payments and a low on-time payment rate."",
  ""human_review_notes"": ""Please review the customer's payment history and adjust the tone and content as needed before sending the final email.""
}
```",,True,True,True,0,[],pending_human_review,False
new_inv_00007,NEW-00007,cust_3448-OWJOT,Customer 3448-OWJOT,88.75,USD,2014-02-06,high,Follow-up on Outstanding Invoice NEW-00007,"Dear Customer 3448-OWJOT,

This is a friendly follow-up regarding your outstanding invoice NEW-00007, which is due on 2014-02-06. The amount due is USD 88.75. We understand that unforeseen circumstances may have caused delays, and we want to ensure that we can resolve this matter amicably.

If you have any questions or concerns about this invoice, please do not hesitate to reply. We are here to help and want to ensure that you are satisfied with our services.

Thank you for your prompt attention to this matter.

Best regards,
[Your Name]

**Draft for Human Review**",Polite and Professional,Ask the customer to confirm payment timing and whether there are issues.,Customer has a history of late payments and a low on-time payment rate.,Please review the customer's payment history and adjust the tone accordingly. Consider adding a specific deadline for payment if necessary.,groq_llm,"{
  ""subject"": ""Follow-up on Outstanding Invoice NEW-00007"",
  ""body"": ""Dear Customer 3448-OWJOT,\n\nThis is a friendly follow-up regarding your outstanding invoice NEW-00007, which is due on 2014-02-06. The amount due is USD 88.75. We understand that unforeseen circumstances may have caused delays, and we want to ensure that we can resolve this matter amicably.\n\nIf you have any questions or concerns about this invoice, please do not hesitate to reply. We are here to help and want to ensure that you are satisfied with our services.\n\nThank you for your prompt attention to this matter.\n\nBest regards,\n[Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Ask the customer to confirm payment timing and whether there are issues."",
  ""risk_reason_summary"": ""Customer has a history of late payments and a low on-time payment rate."",
  ""human_review_notes"": ""Please review the customer's payment history and adjust the tone accordingly. Consider adding a specific deadline for payment if necessary.""
}",,True,True,True,0,[],pending_human_review,False
new_inv_00008,NEW-00008,cust_7228-LEPPM,Customer 7228-LEPPM,50.0,USD,2014-02-07,high,Follow-up on Outstanding Invoice NEW-00008,"Dear Customer 7228-LEPPM,

This is a friendly follow-up regarding your outstanding invoice NEW-00008, dated 2014-01-08, with an amount due of USD 50.00. The due date for this invoice was 2014-02-07. 

If you have any questions or concerns regarding this invoice, please do not hesitate to contact us. We are here to help and want to ensure that everything is resolved to your satisfaction.

Thank you for your prompt attention to this matter.

Best regards,
[Your Name]

**Draft for Human Review**",Polite and Professional,Ask the customer to confirm payment timing and whether there are issues.,Customer has a history of late payments and a low on-time payment rate.,Please review the customer's payment history and adjust the tone accordingly. Ensure that the customer is not being pressured or threatened in any way.,groq_llm,"{
  ""subject"": ""Follow-up on Outstanding Invoice NEW-00008"",
  ""body"": ""Dear Customer 7228-LEPPM,\n\nThis is a friendly follow-up regarding your outstanding invoice NEW-00008, dated 2014-01-08, with an amount due of USD 50.00. The due date for this invoice was 2014-02-07. \n\nIf you have any questions or concerns regarding this invoice, please do not hesitate to contact us. We are here to help and want to ensure that everything is resolved to your satisfaction.\n\nThank you for your prompt attention to this matter.\n\nBest regards,\n[Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Ask the customer to confirm payment timing and whether there are issues."",
  ""risk_reason_summary"": ""Customer has a history of late payments and a low on-time payment rate."",
  ""human_review_notes"": ""Please review the customer's payment history and adjust the tone accordingly. Ensure that the customer is not being pressured or threatened in any way.""
}",,True,True,True,0,[],pending_human_review,False
new_inv_00009,NEW-00009,cust_8887-NCUZC,Customer 8887-NCUZC,50.0,USD,2014-02-08,low,Friendly Reminder: Outstanding Balance for Invoice NEW-00009,"Dear Customer 8887-NCUZC,

We hope this message finds you well. We are writing to follow up on your outstanding balance for invoice NEW-00009, which is currently due on 2014-02-08. The amount due is USD 50.00. If you have any questions or concerns regarding this invoice, please do not hesitate to reply to this email. We are here to assist you.

Best regards,
[Your Name]

**Draft for Human Review**",Polite and Professional,Send a friendly reminder for human review.,Customer has a history of 22 late payments with an average of 5.09 days late and a 37.1% on-time payment rate.,Please review the customer's payment history and adjust the tone and content as necessary before sending the reminder.,groq_llm,"```json
{
  ""subject"": ""Friendly Reminder: Outstanding Balance for Invoice NEW-00009"",
  ""body"": ""Dear Customer 8887-NCUZC,\n\nWe hope this message finds you well. We are writing to follow up on your outstanding balance for invoice NEW-00009, which is currently due on 2014-02-08. The amount due is USD 50.00. If you have any questions or concerns regarding this invoice, please do not hesitate to reply to this email. We are here to assist you.\n\nBest regards,\n[Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Send a friendly reminder for human review."",
  ""risk_reason_summary"": ""Customer has a history of 22 late payments with an average of 5.09 days late and a 37.1% on-time payment rate."",
  ""human_review_notes"": ""Please review the customer's payment history and adjust the tone and content as necessary before sending the reminder.""
}
```",,True,True,True,0,[],pending_human_review,False
new_inv_00010,NEW-00010,cust_5573-KSOIA,Customer 5573-KSOIA,83.13,USD,2014-02-09,medium,Payment Status Follow-up for Invoice NEW-00010,"Dear Customer 5573-KSOIA,

This is a friendly follow-up regarding your outstanding balance for invoice NEW-00010, which was due on 2014-02-09. The amount due is USD 83.13. If you have any questions or concerns about this invoice, please do not hesitate to reply to this email.

Thank you for your prompt attention to this matter.

Best regards,
[Your Name]

**Draft for Human Review**",Polite and Professional,Send the follow-up email after human review and approval.,Customer has a history of late payments and a low on-time payment rate.,Please review the customer's account history and adjust the tone or content as needed before sending the email.,groq_llm,"```json
{
  ""subject"": ""Payment Status Follow-up for Invoice NEW-00010"",
  ""body"": ""Dear Customer 5573-KSOIA,\n\nThis is a friendly follow-up regarding your outstanding balance for invoice NEW-00010, which was due on 2014-02-09. The amount due is USD 83.13. If you have any questions or concerns about this invoice, please do not hesitate to reply to this email.\n\nThank you for your prompt attention to this matter.\n\nBest regards,\n[Your Name]\n\n**Draft for Human Review**"",
  ""tone"": ""Polite and Professional"",
  ""recommended_action"": ""Send the follow-up email after human review and approval."",
  ""risk_reason_summary"": ""Customer has a history of late payments and a low on-time payment rate."",
  ""human_review_notes"": ""Please review the customer's account history and adjust the tone or content as needed before sending the email.""
}
```",,True,True,True,0,[],pending_human_review,False
